935 	 -2.101 	 -6.870 	 9.030 	 - 	 412.21 	 287.19 
936 	 -2.092 	 -6.838 	 9.033 	 - 	 413.73 	 290.95 
937 	 -2.245 	 -6.660 	 9.038 	 - 	 405.36 	 294.78 
938 	 -2.347 	 -6.560 	 9.031 	 - 	 358.11 	 310.06 
939 	 -2.430 	 -6.460 	 9.009 	 - 	 323.26 	 324.21 
940 	 -2.592 	 -6.295 	 8.975 	 - 	 321.61 	 326.70 
941 	 -2.648 	 -6.149 	 8.977 	 - 	 318.92 	 324.27 
942 	 -2.683 	 -6.076 	 8.966 	 - 	 320.20 	 320.69 
943 	 -2.651 	 -5.925 	 8.986 	 - 	 321.32 	 322.68 
944 	 -2.600 	 -5.838 	 9.016 	 - 	 321.54 	 323.42 
945 	 -2.508 	 -5.865 	 9.034 	 - 	 294.58 	 323.55 
946 	 -2.588 	 -6.144 	 9.019 	 - 	 250.04 	 323.51 
947 	 -2.612 	 -6.283 	 8.999 	 - 	 233.85 	 320.60 
948 	 -2.623 	 -6.386 	 8.991 	 - 	 237.10 	 317.33 
949 	 -2.858 	 -6.457 	 8.959 	 - 	 240.73 	 314.85 
950 	 -2.992 	 -6.541 	 8.958 	 - 	 244.38 	 313.41 
951 	 -3.172 	 -6.586 	 8.992 	 - 	 245.48 	 315.44 
952 	 -3.300 	 -6.627 	 9.008 	 - 	 241.44 	 317.30 
953 	 -3.384 	 -6.598 	 9.020 	 - 	 239.79 	 317.84 
954 	 -3.424 	 -6.586 	 9.047 	 - 	 288.25 	 310.42 
955 	 -3.392 	 -6.462 	 9.075 	 - 	 351.23 	 300.26 
956 	 -3.310 	 -6.124 	 9.206 	 - 	  NaN 	  NaN 
957 	 -3.242 	 -5.962 	 9.244 	 - 	  NaN 	  NaN 
958 	 -3.148 	 -5.870 	 9.268 	 - 	  NaN 	  NaN 
959 	 -3.057 	 -5.667 	 9.303 	 - 	  NaN 	  NaN 
960 	 -3.072 	 -5.618 	 9.304 	 - 	  NaN 	  NaN 
961 	 -3.089 	 -5.538 	 9.283 	 - 	  NaN 	  NaN 
962 	 -3.002 	 -5.445 	 9.217 	 - 	  NaN 	  NaN 
963 	 -2.939 	 -5.462 	 9.187 	 - 	  NaN 	  NaN 
964 	 -2.893 	 -5.597 	 9.160 	 - 	  NaN 	  NaN 
965 	 -2.866 	 -5.667 	 9.173 	 - 	  NaN 	  NaN 
966 	 -2.801 	 -5.732 	 9.162 	 - 	  NaN 	  NaN 
967 	 -2.765 	 -5.937 	 9.090 	 - 	 422.95 	 322.05 
968 	 -2.819 	 -6.010 	 9.045 	 - 	 422.34 	 322.40 
969 	 -2.888 	 -6.069 	 9.015 	 - 	 426.35 	 325.83 
970 	 -3.049 	 -6.160 	 8.961 	 - 	 427.74 	 325.80 
971 	 -3.114 	 -6.205 	 8.955 	 - 	 427.67 	 324.75 
972 	 -3.139 	 -6.225 	 8.971 	 - 	 425.35 	 322.08 
973 	 -3.060 	 -6.279 	 9.084 	 - 	 390.72 	 329.54 
974 	 -3.002 	 -6.289 	 9.149 	 - 	 349.91 	 343.46 
975 	 -3.002 	 -6.002 	 9.240 	 - 	 335.00 	 348.47 
976 	 -3.046 	 -5.810 	 9.270 	 - 	 330.71 	 351.49 
977 	 -3.101 	 -5.738 	 9.288 	 - 	 332.08 	 351.14 
978 	 -3.137 	 -5.737 	 9.307 	 - 	 331.73 	 350.00 
979 	 -3.054 	 -5.732 	 9.340 	 - 	 329.27 	 349.30 
980 	 -2.964 	 -5.744 	 9.353 	 - 	 314.34 	 356.59 
981 	 -2.919 	 -5.850 	 9.341 	 - 	 268.97 	 370.95 
982 	 -2.993 	 -5.972 	 9.331 	 - 	 233.52 	 377.55 
983 	 -3.162 	 -6.172 	 9.283 	 - 	 225.48 	 376.49 
984 	 -3.242 	 -6.171 	 9.237 	 - 	 222.72 	 376.83 
985 	 -3.275 	 -6.116 	 9.184 	 - 	  NaN 	  NaN 
986 	 -3.180 	 -6.014 	 9.150 	 - 	  NaN 	  NaN 
987 	 -3.145 	 -6.029 	 9.158 	 - 	  NaN 	  NaN 
988 	 -3.153 	 -6.078 	 9.167 	 - 	  NaN 	  NaN 
